央视频道,#genre#
CCTV1,http://114.254.36.92:8888/rtp/239.3.1.129:8008
CCTV2,http://114.254.36.92:8888/rtp/239.3.1.60:8084
CCTV3,http://114.254.36.92:8888/rtp/239.3.1.172:8001
CCTV4,http://114.254.36.92:8888/rtp/239.3.1.105:8092
CCTV5,http://114.254.36.92:8888/rtp/239.3.1.173:8001
CCTV5+,http://114.254.36.92:8888/rtp/239.3.1.130:8004
CCTV6,http://114.254.36.92:8888/rtp/239.3.1.174:8001
CCTV7,http://121.237.247.137:8888/rtp/239.49.0.126:8000
CCTV8,http://114.254.36.92:8888/rtp/239.3.1.175:8001
CCTV9,http://114.254.36.92:8888/rtp/239.3.1.62:8112
CCTV10,http://114.254.36.92:8888/rtp/239.3.1.63:8116
CCTV11,http://114.254.36.92:8888/rtp/239.3.1.152:8120
CCTV12,http://114.254.36.92:8888/rtp/239.3.1.64:8124
CCTV13,http://114.254.36.92:8888/rtp/239.3.1.124:8128
CCTV14,http://114.254.36.92:8888/rtp/239.3.1.65:8132
CCTV15,http://114.254.36.92:8888/rtp/239.3.1.153:8136
CCTV16,http://114.254.36.92:8888/rtp/239.3.1.184:8001
CCTV17,http://114.254.36.92:8888/rtp/239.3.1.151:8144
CCTV4K,http://114.254.36.92:8888/rtp/239.3.1.244:2000
CCTV4欧洲,http://114.254.36.92:8888/rtp/239.3.1.213:4220
CCTV4美洲,http://114.254.36.92:8888/rtp/239.3.1.214:4220
CGTN,http://183.130.72.240:50000/udp/233.50.201.126:5140
CGTN记录,http://106.116.242.254:9999/rtp/239.254.201.208:4220
CGTN阿语,http://183.130.72.240:50000/udp/233.50.201.38:5140
CGTN俄语,http://114.254.36.92:8888/rtp/239.3.1.220:4220
CGTN法语,http://114.254.36.92:8888/rtp/239.3.1.218:4220
CGTN西语,http://183.130.72.240:50000/udp/233.50.201.36:5140
第一剧场,http://114.107.47.32:8188/rtp/238.1.79.63:4640
风云剧场,http://114.107.47.32:8188/rtp/238.1.79.62:4632
怀旧剧场,http://114.107.47.32:8188/rtp/238.1.79.61:4624
风云足球,http://114.107.47.32:8188/rtp/238.1.79.57:4592
兵器科技,http://114.107.47.32:8188/rtp/238.1.79.56:4584
央视台球,http://114.107.47.32:8188/rtp/238.1.79.59:4608
世界地理,http://114.107.47.32:8188/rtp/238.1.79.60:4616
女性时尚,http://114.107.47.32:8188/rtp/238.1.79.55:4576
高尔夫网球,http://114.107.47.32:8188/rtp/238.1.79.58:4600
风云音乐,http://114.107.47.32:8188/rtp/238.1.79.64:4648

卫视频道,#genre#
湖南卫视,http://114.254.36.92:8888/rtp/239.3.1.132:8012
浙江卫视,http://114.254.36.92:8888/rtp/239.3.1.137:8036
东方卫视,http://114.254.36.92:8888/rtp/239.3.1.136:8032
北京卫视,http://114.254.36.92:8888/rtp/239.3.1.241:8000
江苏卫视,http://114.254.36.92:8888/rtp/239.3.1.135:8028
江西卫视,http://114.254.36.92:8888/rtp/239.3.1.123:8164
安徽卫视,http://114.254.36.92:8888/rtp/239.3.1.211:8064
重庆卫视,http://114.254.36.92:8888/rtp/239.3.1.122:8160
四川卫视,http://114.254.36.92:8888/rtp/239.3.1.29:8288
东南卫视,http://114.254.36.92:8888/rtp/239.3.1.156:8148
深圳卫视,http://114.254.36.92:8888/rtp/239.3.1.134:8020
广东卫视,http://114.254.36.92:8888/rtp/239.3.1.142:8048
广西卫视,http://114.254.36.92:8888/rtp/239.3.1.39:8300
厦门卫视,http://183.251.61.207/PLTV/88888888/224/3221226781/index.m3u8
甘肃卫视,http://114.254.36.92:8888/rtp/239.3.1.49:8188
贵州卫视,http://114.254.36.92:8888/rtp/239.3.1.149:8076
河北卫视,http://114.254.36.92:8888/rtp/239.3.1.148:8072
河南卫视,http://114.254.36.92:8888/rtp/239.3.1.27:8128
海峡卫视,http://112.109.206.113:9999/rtp/239.255.40.157:8208
黑龙江卫视,http://114.254.36.92:8888/rtp/239.3.1.133:8016
湖北卫视,http://114.254.36.92:8888/rtp/239.3.1.138:8044
吉林卫视,http://114.254.36.92:8888/rtp/239.3.1.240:8172
内蒙古卫视,http://114.254.36.92:8888/rtp/239.3.1.43:8176
辽宁卫视,http://114.254.36.92:8888/rtp/239.3.1.210:8056
宁夏卫视,http://114.254.36.92:8888/rtp/239.3.1.46:8124
青海卫视,http://114.254.36.92:8888/rtp/239.3.1.44:8184
山东卫视,http://114.254.36.92:8888/rtp/239.3.1.209:8052
山西卫视,http://114.254.36.92:8888/rtp/239.3.1.42:8172
天津卫视,http://114.254.36.92:8888/rtp/239.3.1.141:1234
海南卫视,http://114.254.36.92:8888/rtp/239.3.1.45:8304
新疆卫视,http://114.254.36.92:8888/rtp/239.3.1.48:8160
云南卫视,http://114.254.36.92:8888/rtp/239.3.1.26:8108
西藏卫视,http://114.254.36.92:8888/rtp/239.3.1.47:8164
兵团卫视,http://114.254.36.92:8888/rtp/239.3.1.144:4120
安多卫视,http://220.167.170.120:4000/rtp/239.120.1.40:8214
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140
农林卫视,http://123.174.106.183:8888/rtp/239.1.1.73:8073
三沙卫视,http://114.254.36.92:8888/rtp/239.3.1.155:4120
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140

港台频道,#genre#
凤凰中文,http://183.130.72.240:50000/udp/233.50.202.35:5140
凤凰资讯,http://183.130.72.240:50000/udp/233.50.202.36:5140
凤凰香港,http://bxtv.3a.ink/api.php?id=fhhk
凤凰卫视中文台,http://106.116.242.254:9999/rtp/239.254.201.2:5226
